scopus_source_id,title,citescore,percentile,citation_count,scholarly_output,percent_cited,snip,sjr,rank,rank_outof,publisher,type,open_access,scopus_asjc_code,subject_area,quartile,top_10%,scopus_link,index,publisher2,percentile2,frequency,journal_website,review_time,open_access2,print_issn,e_issn,user_index,user_publisher,user_percentile,user_frequency,user_open_access
21100262490,"Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications",2.57,83,157,61,77,1.727,0.422,9,50,Innovative Information Science & Technology Research Group (ISYOU),Journal,NO,1701,Computer Science (miscellaneous),Quartile1,,https://www.scopus.com/sourceid/21100262490,Scopus,Others,1,Bi-monthly,http://www.jowua.org/,,No,2093-5374,2093-5382,1.0,0.1,1.0,0.6,0.5
21100283367,International Journal of Prognostics and Health Management,1.36,52,99,73,59,0.686,0.242,24,50,PHM Society,Journal,YES,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/21100283367,Scopus,Others,2,Semi-annual,http://www.ijphm.org/,10 weeks,Yes,2153-2648,,1.0,0.1,0.7,0.3,1.0
21100318403,Journal of the Institute of Image Electronics Engineers of Japan,0.06,3,12,213,5,0.115,0.103,49,50,Institute of Image Electronics Engineers of Japan,Journal,NO,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/21100318403,Scopus,Others,4,Bi-monthly,,,No,0285-9831,1348-0316,1.0,0.1,0.3,0.6,0.5
21100338508,IEEE Transactions on Emerging Topics in Computing,4.36,91,659,151,74,1.83,0.659,5,50,IEEE Computer Society,Journal,NO,1701,Computer Science (miscellaneous),Quartile1,Top 10%,https://www.scopus.com/sourceid/21100338508,Scopus,IEEE,1,Quarterly,http://ieeexplore.ieee.org/servlet/opac?punumber=6245516,,No,2168-6750,,1.0,0.7,1.0,0.5,0.5
21100368801,IEEE/ACM Transactions on Audio Speech and Language Processing,5.06,95,2388,472,85,2.382,1.045,3,50,IEEE Advancing Technology for Humanity,Journal,NO,1701,Computer Science (miscellaneous),Quartile1,Top 10%,https://www.scopus.com/sourceid/21100368801,Scopus,IEEE,1,Monthly,https://signalprocessingsociety.org/publications-resources/ieeeacm-transactions-audio-speech-and-language-processing/ieeeacm,,No,2329-9290,2329-9304,1.0,0.7,1.0,0.7,0.5
21100394266,International Journal of Agile Systems and Management,1.77,65,94,53,64,0.842,0.4,18,50,Inderscience Publishers,Journal,NO,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/21100394266,Scopus,Inderscience,2,Bi-monthly,,,No,1741-9174,1741-9182,1.0,0.4,0.7,0.6,0.5
21100400012,"Proceedings of International Conference of the Learning Sciences, ICLS",0.46,25,134,292,24,0.353,0.217,38,50,International Society of the Learning Sciences,Journal,NO,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/21100400012,Scopus,Others,3,Bi-monthly,,,No,,,1.0,0.1,0.5,0.6,0.5
21100405702,Journal of Computer Virology and Hacking Techniques,1.84,67,138,75,53,1.1,0.279,17,50,Springer Science + Business Media,Journal,NO,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/21100405702,Scopus,Springer,2,Bi-monthly,,,No,,2263-8733,1.0,1.0,0.7,0.6,0.5
21100448516,Journal of Information Technology Education: Innovations in Practice,1.18,47,45,38,55,0.961,0.419,27,50,Informing Science Institute,Journal,YES,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/21100448516,Scopus,Others,3,Annual,http://www.informingscience.org/Journals/JITEIIP/Overview,,Yes,2165-3151,2165-316X,1.0,0.1,0.5,0.2,1.0
21100775395,Journal of Information Technology Education: Discussion Cases,0.1,6,2,21,10,0.299,0.101,47,50,Informing Science Institute,Journal,NO,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/21100775395,Scopus,Others,4,Bi-monthly,,,No,2166-1316,2166-1324,1.0,0.1,0.3,0.6,0.5
21100818504,Journal of Medical Signals and Sensors,1.1,45,106,96,46,0.818,0.257,28,50,Wolters Kluwer Medknow Publications,Journal,YES,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/21100818504,Scopus,Others,3,Bi-monthly,,,Yes,,2228-7477,1.0,0.1,0.5,0.6,1.0
21100820054,International Journal of Computing,2.07,71,87,42,57,1.337,0.291,15,50,Research Institute of Intelligent Computer Systems,Journal,NO,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/21100820054,Scopus,Others,2,Bi-monthly,,,No,1727-6209,2312-5381,1.0,0.1,0.7,0.6,0.5
21100824892,"Law, Innovation and Technology",1.54,57,43,28,64,0.913,0.612,22,50,Taylor and Francis Ltd.,Journal,NO,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/21100824892,Scopus,Taylor and Francis,2,Bi-monthly,,,No,1757-9961,1757-997X,1.0,0.55,0.7,0.6,0.5
21100826268,Computer Science,0.38,21,9,24,25,0.569,0.106,40,50,AGH University of Science and Technology,Journal,YES,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/21100826268,Scopus,Others,4,Quarterly,https://journals.agh.edu.pl/csci,20 weeks,Yes,1508-2806,2300-7036,1.0,0.1,0.3,0.5,1.0
21100826382,Bulletin of Electrical Engineering and Informatics,1.9,69,91,48,62,0.785,0.437,16,50,Institute of Advanced Engineering and Science (IAES),Journal,NO,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/21100826382,Scopus,Others,2,Bi-monthly,,,No,2089-3191,2302-9285,1.0,0.1,0.7,0.6,0.5
21100826383,Indonesian Journal of Electrical Engineering and Informatics,1.59,59,70,44,70,0.905,0.363,21,50,Institute of Advanced Engineering and Science (IAES),Journal,NO,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/21100826383,Scopus,Others,2,Bi-monthly,,,No,,2089-3272,1.0,0.1,0.7,0.6,0.5
21100827946,npj Quantum Information,8.53,99,503,59,95,2.5,3.929,1,50,Nature Partner Journals,Journal,YES,1701,Computer Science (miscellaneous),Quartile1,Top 10%,https://www.scopus.com/sourceid/21100827946,Scopus,Others,1,Bi-monthly,,,Yes,,2056-6387,1.0,0.1,1.0,0.6,1.0
21100831441,TEM Journal,0.52,27,59,114,39,0.543,0.148,37,50,UIKTEN - Association for Information Communication Technology Education and Science,Journal,YES,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/21100831441,Scopus,Others,3,Quarterly,http://www.temjournal.com/,6 weeks,Yes,2217-8309,2217-8333,1.0,0.1,0.5,0.5,1.0
21100838145,Machines,1.63,61,119,73,55,0.769,0.315,20,50,MDPI AG,Journal,YES,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/21100838145,Scopus,Others,2,Bi-monthly,,,Yes,,2075-1702,1.0,0.1,0.7,0.6,1.0
21100842538,Jusletter IT,0.01,1,1,123,1,0.018,0.1,50,50,Weblaw AG,Journal,NO,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/21100842538,Scopus,Others,4,Bi-monthly,,,No,,1664-848X,1.0,0.1,0.3,0.6,0.5
21100853526,ACM Transactions on Economics and Computation,1.36,52,103,76,59,1.29,0.561,24,50,Association for Computing Machinery (ACM),Journal,NO,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/21100853526,Scopus,ACM,2,Quarterly,http://teac.acm.org/,,No,2167-8375,2167-8383,1.0,0.25,0.7,0.5,0.5
21100854726,International Journal of Mathematics and Computer Science,0.44,23,4,9,44,0.775,0.103,39,50,Badih Ghusayni,Journal,NO,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/21100854726,Scopus,Others,4,Semi-annual,http://ijmcs.futureintech.net/,,No,1814-0424,1814-0432,1.0,0.1,0.3,0.3,0.5
21100855505,Journal of Cybersecurity,2.3,77,92,40,65,1.712,0.469,12,50,Oxford University Press,Journal,YES,1701,Computer Science (miscellaneous),Quartile1,,https://www.scopus.com/sourceid/21100855505,Scopus,Others,1,Bi-monthly,,,Yes,,2057-2093,1.0,0.1,1.0,0.6,1.0
21100855995,International Journal of Cloud Computing,0.24,10,5,21,10,0.035,0.107,45,50,Inderscience Enterprises Ltd.,Journal,NO,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/21100855995,Scopus,Inderscience,4,Bi-monthly,,,No,2043-9989,2043-9997,1.0,0.4,0.3,0.6,0.5
27930,Wuhan Daxue Xuebao (Xinxi Kexue Ban)/Geomatics and Information Science of Wuhan University,0.59,30,511,869,35,0.664,0.25,35,50,Wuhan University,Journal,NO,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/27930,Scopus,Others,3,Bi-monthly,,,No,1671-8860,,1.0,0.1,0.5,0.6,0.5
28352,Ocean Modelling,3.27,87,1093,334,82,1.392,1.899,7,50,Elsevier BV,Journal,NO,1701,Computer Science (miscellaneous),Quartile1,,https://www.scopus.com/sourceid/28352,Scopus,Elsevier,1,Monthly,http://www.journals.elsevier.com/ocean-modelling/#description,,No,1463-5003,1463-5011,1.0,0.85,1.0,0.7,0.5
4500151509,International Journal of Applied Mathematics and Computer Science,2.09,73,406,194,72,1.361,0.493,14,50,Walter de Gruyter GmbH,Journal,YES,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/4500151509,Scopus,Others,2,Quarterly,https://www.amcs.uz.zgora.pl/,53 weeks,Yes,1641-876X,2083-8492,1.0,0.1,0.7,0.5,1.0
4700152467,Shenzhen Daxue Xuebao (Ligong Ban)/Journal of Shenzhen University Science and Engineering,0.24,10,65,268,19,0.215,0.148,45,50,Editorial Office of Journal of Shenzhen University,Journal,NO,1701,Computer Science (miscellaneous),Quartile4,,https://www.scopus.com/sourceid/4700152467,Scopus,Others,4,Bi-monthly,,,No,1000-2618,,1.0,0.1,0.3,0.6,0.5
4700152641,International Journal of Foundations of Computer Science,0.7,33,126,181,34,0.764,0.32,34,50,World Scientific Publishing Co. Pte Ltd,Journal,NO,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/4700152641,Scopus,Others,3,Bi-monthly,http://www.worldscinet.com/ijfcs/ijfcs.shtml,,No,0129-0541,1793-6373,1.0,0.1,0.5,0.6,0.5
4700152646,International Journal of Information Technology and Decision Making,2.49,81,474,190,59,0.95,0.552,10,50,World Scientific Publishing Co. Pte Ltd,Journal,NO,1701,Computer Science (miscellaneous),Quartile1,,https://www.scopus.com/sourceid/4700152646,Scopus,Others,1,Bi-monthly,http://www.worldscinet.com/ijitdm/ijitdm.shtml,,No,0219-6220,1793-6845,1.0,0.1,1.0,0.6,0.5
4700152809,Data Science Journal,1.25,49,116,93,46,0.63,0.22,26,50,Committee on Data for Science and Technology,Journal,YES,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/4700152809,Scopus,Others,3,Bi-monthly,,,Yes,1683-1470,,1.0,0.1,0.5,0.6,1.0
4800153205,ACM Transactions on Autonomous and Adaptive Systems,2.67,85,208,78,65,1.122,0.408,8,50,Association for Computing Machinery (ACM),Journal,NO,1701,Computer Science (miscellaneous),Quartile1,,https://www.scopus.com/sourceid/4800153205,Scopus,ACM,1,Quarterly,http://taas.acm.org/,,No,1556-4665,1556-4703,1.0,0.25,1.0,0.5,0.5
4900152403,International Journal of Computational Methods,1.47,55,320,218,60,0.718,0.487,23,50,World Scientific Publishing Co. Pte Ltd,Journal,NO,1701,Computer Science (miscellaneous),Quartile2,,https://www.scopus.com/sourceid/4900152403,Scopus,Others,2,Bi-monthly,http://www.worldscinet.com/ijcm/ijcm.shtml,,No,0219-8762,1793-6969,1.0,0.1,0.7,0.6,0.5
4900152803,Journal of Systems Science and Complexity,1.05,43,296,283,43,0.647,0.281,29,50,Springer New York,Journal,NO,1701,Computer Science (miscellaneous),Quartile3,,https://www.scopus.com/sourceid/4900152803,Scopus,Springer,3,Bi-monthly,http://www.springerlink.com/content/120065/,,No,1009-6124,1559-7067,1.0,1.0,0.5,0.6,0.5
5100155071,Foundations and Trends in Information Retrieval,8.36,97,92,11,100,5.325,1.044,2,50,Now Publishers Inc,Journal,NO,1701,Computer Science (miscellaneous),Quartile1,Top 10%,https://www.scopus.com/sourceid/5100155071,Scopus,Others,1,Bi-monthly,http://www.nowpublishers.com/journals/INR/,,No,1554-0669,1554-0677,1.0,0.1,1.0,0.6,0.5
